1000,"[57, 22, 66]"
1000,"[39, 34, 64]"
1000,"[32, 80, 38]"
959,"[29, 57, 77]"
1000,"[91, 15, 55]"
1000,"[90, 59, 13]"
1000,"[90, 5, 76]"
998,"[74, 11, 76]"
1000,"[77, 4, 90]"
1000,"[80, 10, 69]"
1000,"[91, 7, 72]"
1000,"[75, 89, 6]"
999,"[65, 27, 49]"
990,"[0, 2]"
1000,"[83, 3, 87]"
997,"[12, 63, 89]"
981,"[1, 4]"
998,"[85, 9, 70]"
993,"[26, 57, 61]"
995,"[35, 36, 75]"
999,"[58, 73, 18]"
999,"[25, 77, 46]"
998,"[59, 78, 16]"
973,"[21, 71, 68]"
1000,"[83, 8, 73]"
1000,"[28, 43, 76]"
997,"[23, 54, 71]"
869,"[39, 78, 85]"
996,"[14, 74, 67]"
995,"[31, 59, 47]"
1000,"[30, 91, 37]"
1000,"[24, 90, 41]"
1000,"[53, 20, 79]"
1000,"[62, 17, 65]"
999,"[33, 56, 45]"
999,"[60, 50, 29]"
983,"[39, 52, 48]"
999,"[40, 44, 42]"
1000,"[51, 19, 87]"
